Field1,经度,纬度,行政区
龙耀路,121.4552406,31.16164153,徐汇区
云锦路,121.4538361,31.16833479,徐汇区
龙华,121.4484212,31.17451956,徐汇区
长清路,121.4840323,31.17601191,浦东新区
世博大道,121.4798168,31.18469521,浦东新区
东安路,121.4504248,31.19271476,徐汇区
桂林公园,121.4149622,31.16887279,徐汇区
龙漕路,121.4397008,31.17140387,徐汇区
漕溪路,121.4337881,31.17869008,徐汇区
游泳馆,121.4367938,31.18109381,徐汇区
吴中路,121.4092563,31.18606039,闵行区
延安西路,121.4124564,31.2114498,长宁区
交通大学,121.4305801,31.20407259,徐汇区
衡山路,121.4418024,31.20649028,徐汇区
中兴路,121.4643596,31.25511915,静安区
宝山路,121.4717837,31.25353983,静安区
